TAP1	2.75E-31	1.87E-28
CCL5	7.66E-31	5.19E-28
CXCL10	1.24E-30	8.41E-28
UBD	9.34E-30	6.33E-27
PSMB9	1.06E-28	7.18E-26
SIDT1	2.65E-25	1.80E-22
SOX10	1.26E-24	8.51E-22
LAP3	7.14E-24	4.84E-21
FOXA1	1.09E-23	7.36E-21
LIMA1	1.44E-23	9.78E-21
GBP1	1.59E-23	1.08E-20
MLPH	2.07E-23	1.40E-20
ABCA12	2.43E-23	1.65E-20
ALCAM	3.72E-23	2.52E-20
PIP	4.18E-23	2.83E-20
CXCL9	5.10E-23	3.45E-20
ALDH3B2	6.88E-23	4.67E-20
CXCL13	8.06E-23	5.47E-20
APOD	1.31E-22	8.90E-20
ROPN1	1.80E-22	1.22E-19
EN1	1.54E-21	1.05E-18
KYNU	2.30E-21	1.56E-18
AR	2.85E-21	1.93E-18
TP53TG1	4.41E-21	2.99E-18
CTSS	1.09E-20	7.39E-18
ZCCHC24	1.12E-20	7.61E-18
TFAP2B	2.08E-20	1.41E-17
CXCL11	4.39E-20	2.97E-17
AKR1B10	6.66E-20	4.52E-17
IFI44L	8.44E-20	5.72E-17
IFIH1	1.21E-19	8.24E-17
SPDEF	1.34E-19	9.08E-17
PSMB8	1.43E-19	9.71E-17
SERHL2	2.94E-19	2.00E-16
ADAMDEC1	3.44E-19	2.33E-16
RTP4	3.60E-19	2.44E-16
SCRG1	7.05E-19	4.78E-16
SLAMF8	1.36E-18	9.22E-16
CROT	2.19E-18	1.49E-15
APOL6	2.25E-18	1.52E-15
UGT2B28	2.61E-18	1.77E-15
GALNT10	4.32E-18	2.93E-15
CADPS2	8.15E-18	5.52E-15
IGLJ3	1.68E-17	1.14E-14
CPE	1.94E-17	1.31E-14
PMP22	2.10E-17	1.43E-14
EPHB3	2.79E-17	1.89E-14
AZGP1	3.72E-17	2.52E-14
POU2AF1	4.59E-17	3.11E-14
KCNMA1	5.41E-17	3.67E-14
TRIM68	7.12E-17	4.83E-14
LOC100130100	7.36E-17	4.99E-14
AGR2	7.38E-17	5.00E-14
CLCA2	8.38E-17	5.68E-14
IQGAP2	9.45E-17	6.41E-14
SCNN1A	1.00E-16	6.79E-14
TRPS1	1.00E-16	6.80E-14
IGKV1D-13	1.61E-16	1.09E-13
C4orf31	1.63E-16	1.11E-13
HMGCS2	1.86E-16	1.26E-13
KIAA0644	2.22E-16	1.50E-13
NTN3	2.54E-16	1.72E-13
S100A1	3.89E-16	2.64E-13
GPD1L	4.21E-16	2.86E-13
MYBL1	5.94E-16	4.03E-13
SPOCK1	6.07E-16	4.12E-13
LOC652493	6.57E-16	4.45E-13
GALNT7	6.62E-16	4.49E-13
LRRC17	9.14E-16	6.20E-13
IFI44	1.01E-15	6.84E-13
ACSS3	1.09E-15	7.37E-13
GHR	1.10E-15	7.48E-13
FBN1	1.97E-15	1.33E-12
IGHG3	2.11E-15	1.43E-12
MICALL1	3.42E-15	2.32E-12
PDGFD	3.54E-15	2.40E-12
SFRP4	3.67E-15	2.49E-12
IGKC	3.69E-15	2.50E-12
TMC5	5.50E-15	3.73E-12
OLFML3	1.09E-14	7.40E-12
MX1	1.13E-14	7.66E-12
AEBP1	1.17E-14	7.94E-12
AACS	1.23E-14	8.32E-12
SRPX	1.35E-14	9.17E-12
S100A8	1.54E-14	1.05E-11
CCL8	2.01E-14	1.36E-11
ALOX15B	2.16E-14	1.46E-11
ZBTB16	2.34E-14	1.58E-11
HTRA1	2.54E-14	1.72E-11
MAOA	4.13E-14	2.80E-11
LHFP	4.15E-14	2.82E-11
SCHIP1	4.69E-14	3.18E-11
DHRS2	4.80E-14	3.26E-11
LOC339562	6.13E-14	4.15E-11
KIAA1324	6.49E-14	4.40E-11
PECI	6.77E-14	4.59E-11
CHST1	6.84E-14	4.64E-11
SPARCL1	7.00E-14	4.75E-11
EGLN3	8.41E-14	5.70E-11
MXRA8	1.07E-13	7.24E-11
TSPAN8	1.20E-13	8.11E-11
TGFBR3	1.53E-13	1.04E-10
CKAP2	1.79E-13	1.22E-10
TP53BP2	2.00E-13	1.35E-10
INPP4B	2.14E-13	1.45E-10
TFAP2C	2.28E-13	1.54E-10
KRT23	2.32E-13	1.57E-10
TTYH1	2.70E-13	1.83E-10
DCN	2.71E-13	1.84E-10
CYB5A	2.88E-13	1.95E-10
PMEPA1	2.97E-13	2.01E-10
ZNF423	3.26E-13	2.21E-10
CRYAB	3.37E-13	2.28E-10
C10orf116	3.44E-13	2.33E-10
POSTN	3.54E-13	2.40E-10
SCUBE2	3.86E-13	2.62E-10
C4B	4.13E-13	2.80E-10
RASGRP1	6.04E-13	4.10E-10
COL5A1	6.41E-13	4.34E-10
KRT14	7.66E-13	5.19E-10
COL6A3	8.14E-13	5.52E-10
HPGD	1.02E-12	6.91E-10
TNFSF10	1.06E-12	7.22E-10
C1orf115	1.14E-12	7.74E-10
IGFBP4	1.26E-12	8.51E-10
IGHM	1.26E-12	8.52E-10
SLC26A2	1.39E-12	9.43E-10
NDN	1.57E-12	1.06E-09
SEMA3C	1.67E-12	1.13E-09
FHL1	1.96E-12	1.33E-09
FAM5C	2.01E-12	1.37E-09
AKAP12	2.04E-12	1.38E-09
APOBEC3B	2.04E-12	1.38E-09
NUDT4	2.06E-12	1.39E-09
MAGED2	2.11E-12	1.43E-09
ACE2	2.39E-12	1.62E-09
LYN	2.69E-12	1.82E-09
IGL@	2.96E-12	2.01E-09
ADRA2A	2.99E-12	2.03E-09
CDH11	3.05E-12	2.07E-09
S100A7	3.05E-12	2.07E-09
FMOD	3.07E-12	2.08E-09
ACTG2	3.55E-12	2.41E-09
MDC1	4.53E-12	3.07E-09
