TAP1	2.75E-31	2.94E-28
CCL5	7.66E-31	8.17E-28
CXCL10	1.24E-30	1.32E-27
UBD	9.34E-30	9.96E-27
IRF1	2.25E-29	2.40E-26
PSMB9	1.06E-28	1.13E-25
CD53	1.26E-27	1.35E-24
STAT1	1.42E-27	1.51E-24
CD2	1.48E-27	1.57E-24
IL10RA	1.02E-26	1.08E-23
BATF	3.33E-26	3.55E-23
PTPRC	4.30E-26	4.59E-23
HLA-DMB	6.11E-26	6.52E-23
FGL2	7.88E-26	8.41E-23
PSME2	9.69E-26	1.03E-22
LCP2	4.22E-25	4.50E-22
UBE2L6	8.32E-25	8.88E-22
IL2RG	8.35E-25	8.91E-22
SOX10	1.26E-24	1.34E-21
HLA-DRA	1.38E-24	1.47E-21
PLEK	1.51E-24	1.61E-21
TRAC	1.54E-24	1.64E-21
TNFRSF1B	4.65E-24	4.96E-21
APOBEC3G	5.76E-24	6.14E-21
CD74	5.98E-24	6.38E-21
LAP3	7.14E-24	7.62E-21
CD38	8.35E-24	8.91E-21
GBP1	1.59E-23	1.69E-20
CSF2RB	1.77E-23	1.89E-20
HLA-DRB1	1.94E-23	2.07E-20
MLPH	2.07E-23	2.20E-20
HLA-DMA	2.18E-23	2.32E-20
HLA-DRB5	2.31E-23	2.46E-20
ABCA12	2.43E-23	2.59E-20
GIMAP4	2.72E-23	2.90E-20
PIP	4.18E-23	4.46E-20
CXCL9	5.10E-23	5.44E-20
IFI30	6.06E-23	6.47E-20
HLA-F	6.77E-23	7.23E-20
CD48	8.02E-23	8.55E-20
CXCL13	8.06E-23	8.60E-20
APOD	1.31E-22	1.40E-19
MSX2	1.33E-22	1.42E-19
SASH3	1.51E-22	1.61E-19
GZMA	1.58E-22	1.68E-19
WARS	1.74E-22	1.86E-19
CYTIP	1.75E-22	1.86E-19
ROPN1	1.80E-22	1.92E-19
SEMA4D	3.08E-22	3.28E-19
DOCK10	3.34E-22	3.56E-19
NKG7	3.96E-22	4.23E-19
SP140	5.44E-22	5.80E-19
TRIM22	5.44E-22	5.81E-19
PRF1	6.41E-22	6.84E-19
LTB	7.13E-22	7.61E-19
CD3D	7.97E-22	8.50E-19
LAG3	1.08E-21	1.16E-18
LAPTM5	1.30E-21	1.39E-18
KRT18	1.33E-21	1.42E-18
RHOB	1.35E-21	1.44E-18
RHOH	1.44E-21	1.54E-18
EN1	1.54E-21	1.64E-18
CD52	1.91E-21	2.04E-18
CD86	1.98E-21	2.11E-18
IRF8	2.14E-21	2.28E-18
KYNU	2.30E-21	2.46E-18
APOL3	2.33E-21	2.49E-18
SRGN	2.40E-21	2.56E-18
HLA-DPB1	2.71E-21	2.89E-18
TP53TG1	4.41E-21	4.70E-18
CRAT	7.69E-21	8.20E-18
CTSS	1.09E-20	1.16E-17
DOCK2	1.22E-20	1.30E-17
IL2RB	1.30E-20	1.39E-17
CCR5	2.03E-20	2.17E-17
HLA-G	2.07E-20	2.21E-17
TFAP2B	2.08E-20	2.22E-17
LAMP3	2.93E-20	3.13E-17
NCKAP1L	3.18E-20	3.39E-17
IDO1	3.19E-20	3.40E-17
BTN3A3	3.27E-20	3.49E-17
HLA-E	3.34E-20	3.57E-17
EVI2A	3.36E-20	3.59E-17
PRKCB	3.93E-20	4.19E-17
CD8A	4.26E-20	4.55E-17
CXCL11	4.39E-20	4.68E-17
HLA-DPA1	4.40E-20	4.69E-17
EVI2B	4.57E-20	4.88E-17
IL15	6.25E-20	6.67E-17
AKR1B10	6.66E-20	7.11E-17
IFI44L	8.44E-20	9.00E-17
GPR171	9.62E-20	1.03E-16
SLAMF1	9.95E-20	1.06E-16
GIMAP5	1.01E-19	1.08E-16
STAT4	1.12E-19	1.19E-16
GMFG	1.18E-19	1.26E-16
IFIH1	1.21E-19	1.30E-16
CLIC2	1.24E-19	1.33E-16
SAMSN1	1.26E-19	1.35E-16
SPDEF	1.34E-19	1.43E-16
PSMB8	1.43E-19	1.53E-16
TRGC2	1.55E-19	1.66E-16
PARP12	1.62E-19	1.73E-16
BIRC3	1.64E-19	1.75E-16
ARHGAP15	2.09E-19	2.23E-16
GIMAP6	2.43E-19	2.59E-16
SLA	2.51E-19	2.67E-16
SERHL2	2.94E-19	3.14E-16
C1QA	3.10E-19	3.31E-16
CORO1A	3.33E-19	3.56E-16
ADAMDEC1	3.44E-19	3.67E-16
HCLS1	3.57E-19	3.81E-16
RTP4	3.60E-19	3.85E-16
CXCR6	3.82E-19	4.08E-16
TGFB1I1	3.91E-19	4.18E-16
GZMK	4.58E-19	4.88E-16
MYO1F	5.12E-19	5.47E-16
NCF4	5.61E-19	5.99E-16
P2RY13	5.78E-19	6.17E-16
ITGAL	6.22E-19	6.64E-16
SCRG1	7.05E-19	7.52E-16
HCP5	8.72E-19	9.30E-16
PSME1	9.00E-19	9.60E-16
BTN3A1	1.15E-18	1.22E-15
FYB	1.23E-18	1.31E-15
WIPF1	1.25E-18	1.34E-15
SAMHD1	1.35E-18	1.44E-15
SLAMF8	1.36E-18	1.45E-15
ITGB2	1.49E-18	1.59E-15
LAMB2	1.54E-18	1.64E-15
CASP1	1.71E-18	1.82E-15
LPXN	1.77E-18	1.89E-15
CD247	1.81E-18	1.93E-15
IL21R	1.86E-18	1.99E-15
PTPN6	2.11E-18	2.26E-15
UGDH	2.22E-18	2.37E-15
APOL6	2.25E-18	2.40E-15
PTPN7	2.26E-18	2.42E-15
TFEC	2.55E-18	2.73E-15
UGT2B28	2.61E-18	2.78E-15
ICOS	3.04E-18	3.25E-15
RARRES3	3.28E-18	3.50E-15
AIF1	3.98E-18	4.24E-15
LILRB1	4.57E-18	4.87E-15
GZMB	4.61E-18	4.92E-15
ZAP70	4.66E-18	4.98E-15
TNFAIP8	5.03E-18	5.36E-15
CCL4	5.15E-18	5.49E-15
VCAM1	5.56E-18	5.93E-15
ITK	5.82E-18	6.21E-15
RAC2	5.94E-18	6.34E-15
C1QB	6.43E-18	6.86E-15
TRGV9	6.73E-18	7.18E-15
KLRC2	7.67E-18	8.19E-15
DENND2D	7.98E-18	8.51E-15
SMPDL3A	8.37E-18	8.93E-15
PVRIG	9.48E-18	1.01E-14
CCND2	9.82E-18	1.05E-14
TAPBP	1.11E-17	1.18E-14
TRAT1	1.25E-17	1.34E-14
ARHGAP25	1.30E-17	1.39E-14
AIM2	1.32E-17	1.41E-14
CST7	1.65E-17	1.76E-14
IGLJ3	1.68E-17	1.79E-14
CPE	1.94E-17	2.07E-14
CCR2	1.99E-17	2.12E-14
PMP22	2.10E-17	2.24E-14
LCK	2.42E-17	2.58E-14
EPHB3	2.79E-17	2.98E-14
PLAC8	2.86E-17	3.05E-14
SELL	3.39E-17	3.62E-14
AZGP1	3.72E-17	3.97E-14
TARP	4.03E-17	4.30E-14
INPP5D	4.49E-17	4.79E-14
JAK2	4.58E-17	4.89E-14
POU2AF1	4.59E-17	4.89E-14
CYBB	5.13E-17	5.47E-14
SIRPG	6.06E-17	6.46E-14
MNDA	6.36E-17	6.79E-14
TMEM140	6.50E-17	6.94E-14
PSMB10	7.25E-17	7.74E-14
LOC100130100	7.36E-17	7.85E-14
AGR2	7.38E-17	7.87E-14
IL23A	7.80E-17	8.32E-14
CLCA2	8.38E-17	8.94E-14
SCNN1A	1.00E-16	1.07E-13
RFX5	1.03E-16	1.10E-13
CECR1	1.06E-16	1.13E-13
SELPLG	1.15E-16	1.23E-13
SPRED2	1.19E-16	1.27E-13
CCDC69	1.20E-16	1.28E-13
ITGA4	1.25E-16	1.33E-13
XCL2	1.35E-16	1.44E-13
SPOCK2	1.40E-16	1.50E-13
TYROBP	1.43E-16	1.52E-13
XAF1	1.49E-16	1.59E-13
PIK3CD	1.56E-16	1.66E-13
IGKV1D-13	1.61E-16	1.72E-13
ITM2A	1.84E-16	1.96E-13
HMGCS2	1.86E-16	1.98E-13
DDX60	1.94E-16	2.07E-13
VAV1	2.04E-16	2.18E-13
OASL	2.05E-16	2.19E-13
HLA-A	2.05E-16	2.19E-13
KLRK1	2.07E-16	2.21E-13
AQP1	2.08E-16	2.22E-13
TMEM149	2.30E-16	2.45E-13
NCF1B	2.30E-16	2.45E-13
USP18	2.42E-16	2.58E-13
NTN3	2.54E-16	2.71E-13
GNLY	2.63E-16	2.80E-13
MS4A6A	3.19E-16	3.41E-13
CD37	3.23E-16	3.44E-13
PTPRCAP	3.52E-16	3.75E-13
SPARC	3.74E-16	3.99E-13
CD27	3.82E-16	4.08E-13
S100A1	3.89E-16	4.15E-13
NMI	4.33E-16	4.62E-13
CCR7	4.40E-16	4.69E-13
FCER1G	4.98E-16	5.31E-13
SC4MOL	5.73E-16	6.12E-13
CLEC2D	5.87E-16	6.26E-13
SPOCK1	6.07E-16	6.48E-13
GBP2	6.19E-16	6.60E-13
LOC652493	6.57E-16	7.01E-13
PSTPIP1	7.46E-16	7.96E-13
IFNG	7.83E-16	8.36E-13
APOL1	7.89E-16	8.41E-13
SERPINB9	8.57E-16	9.14E-13
LRRC17	9.14E-16	9.75E-13
IFI44	1.01E-15	1.08E-12
GHR	1.10E-15	1.18E-12
LGALS9	1.15E-15	1.23E-12
GPR65	1.18E-15	1.26E-12
IL7R	1.19E-15	1.26E-12
CD3E	1.23E-15	1.31E-12
PLCL2	1.24E-15	1.32E-12
IFIT3	1.28E-15	1.37E-12
CD3G	1.30E-15	1.39E-12
OAS3	1.37E-15	1.46E-12
COL1A2	1.87E-15	2.00E-12
HLA-C	1.96E-15	2.10E-12
GCH1	2.00E-15	2.14E-12
IGHG3	2.11E-15	2.26E-12
CIITA	2.12E-15	2.26E-12
ALOX5AP	2.14E-15	2.28E-12
ALOX5	2.71E-15	2.89E-12
SLC7A7	2.78E-15	2.97E-12
