TAP1	2.75E-31	6.15E-28
CCL5	7.66E-31	1.71E-27
CXCL10	1.24E-30	2.77E-27
UBD	9.34E-30	2.09E-26
IRF1	2.25E-29	5.03E-26
PSMB9	1.06E-28	2.37E-25
STAT1	1.42E-27	3.17E-24
BATF	3.33E-26	7.44E-23
SIDT1	2.65E-25	5.93E-22
DHCR24	5.89E-25	1.32E-21
UBE2L6	8.32E-25	1.86E-21
SOX10	1.26E-24	2.81E-21
LAP3	7.14E-24	1.60E-20
FOXA1	1.09E-23	2.43E-20
LIMA1	1.44E-23	3.23E-20
GBP1	1.59E-23	3.55E-20
MLPH	2.07E-23	4.62E-20
ABCA12	2.43E-23	5.43E-20
ALCAM	3.72E-23	8.31E-20
PIP	4.18E-23	9.34E-20
CXCL9	5.10E-23	1.14E-19
HLA-F	6.77E-23	1.51E-19
ALDH3B2	6.88E-23	1.54E-19
APOD	1.31E-22	2.94E-19
MSX2	1.33E-22	2.98E-19
WARS	1.74E-22	3.89E-19
ROPN1	1.80E-22	4.03E-19
SEMA4D	3.08E-22	6.88E-19
REEP5	3.25E-22	7.26E-19
PRF1	6.41E-22	1.43E-18
LTB	7.13E-22	1.59E-18
KRT18	1.33E-21	2.98E-18
RHOB	1.35E-21	3.02E-18
RHOH	1.44E-21	3.23E-18
EN1	1.54E-21	3.45E-18
KYNU	2.30E-21	5.15E-18
AR	2.85E-21	6.37E-18
TP53TG1	4.41E-21	9.86E-18
SEPP1	6.77E-21	1.51E-17
CRAT	7.69E-21	1.72E-17
ZCCHC24	1.12E-20	2.51E-17
HLA-G	2.07E-20	4.63E-17
TFAP2B	2.08E-20	4.64E-17
HSD17B11	2.65E-20	5.92E-17
LAMP3	2.93E-20	6.56E-17
IDO1	3.19E-20	7.13E-17
PRKCH	3.21E-20	7.18E-17
CXCL11	4.39E-20	9.81E-17
RETSAT	5.11E-20	1.14E-16
AKR1B10	6.66E-20	1.49E-16
FASN	8.24E-20	1.84E-16
IFI44L	8.44E-20	1.89E-16
FZD4	9.08E-20	2.03E-16
