TAP1	2.75E-31	2.36E-28
CCL5	7.66E-31	6.56E-28
CXCL10	1.24E-30	1.06E-27
UBD	9.34E-30	7.99E-27
IRF1	2.25E-29	1.93E-26
PSMB9	1.06E-28	9.07E-26
CD53	1.26E-27	1.08E-24
STAT1	1.42E-27	1.21E-24
CD2	1.48E-27	1.26E-24
IL10RA	1.02E-26	8.69E-24
BATF	3.33E-26	2.85E-23
PTPRC	4.30E-26	3.68E-23
HLA-DMB	6.11E-26	5.23E-23
FGL2	7.88E-26	6.74E-23
PSME2	9.69E-26	8.30E-23
SIDT1	2.65E-25	2.27E-22
LCP2	4.22E-25	3.61E-22
DHCR24	5.89E-25	5.04E-22
UBE2L6	8.32E-25	7.13E-22
IL2RG	8.35E-25	7.15E-22
SOX10	1.26E-24	1.07E-21
HLA-DRA	1.38E-24	1.18E-21
PLEK	1.51E-24	1.29E-21
TRAC	1.54E-24	1.32E-21
TNFRSF1B	4.65E-24	3.98E-21
APOBEC3G	5.76E-24	4.93E-21
CD74	5.98E-24	5.12E-21
LAP3	7.14E-24	6.11E-21
CD38	8.35E-24	7.15E-21
FOXA1	1.09E-23	9.29E-21
GBP1	1.59E-23	1.36E-20
CSF2RB	1.77E-23	1.51E-20
HLA-DRB1	1.94E-23	1.66E-20
MLPH	2.07E-23	1.77E-20
HLA-DMA	2.18E-23	1.86E-20
HLA-DRB5	2.31E-23	1.98E-20
ABCA12	2.43E-23	2.08E-20
GIMAP4	2.72E-23	2.33E-20
PIP	4.18E-23	3.58E-20
CXCL9	5.10E-23	4.36E-20
IFI30	6.06E-23	5.19E-20
HLA-F	6.77E-23	5.80E-20
ALDH3B2	6.88E-23	5.89E-20
CD48	8.02E-23	6.86E-20
CXCL13	8.06E-23	6.90E-20
SASH3	1.51E-22	1.29E-19
GZMA	1.58E-22	1.35E-19
WARS	1.74E-22	1.49E-19
CYTIP	1.75E-22	1.50E-19
ROPN1	1.80E-22	1.54E-19
DOCK10	3.34E-22	2.86E-19
NKG7	3.96E-22	3.39E-19
SP140	5.44E-22	4.65E-19
TRIM22	5.44E-22	4.66E-19
PRF1	6.41E-22	5.48E-19
LTB	7.13E-22	6.10E-19
CD3D	7.97E-22	6.82E-19
LAG3	1.08E-21	9.27E-19
LAPTM5	1.30E-21	1.12E-18
RHOH	1.44E-21	1.24E-18
EN1	1.54E-21	1.32E-18
CD52	1.91E-21	1.64E-18
CD86	1.98E-21	1.69E-18
IRF8	2.14E-21	1.83E-18
KYNU	2.30E-21	1.97E-18
APOL3	2.33E-21	2.00E-18
SRGN	2.40E-21	2.05E-18
HLA-DPB1	2.71E-21	2.32E-18
CTSS	1.09E-20	9.33E-18
DOCK2	1.22E-20	1.04E-17
IL2RB	1.30E-20	1.11E-17
CCR5	2.03E-20	1.74E-17
TFAP2B	2.08E-20	1.78E-17
HSD17B11	2.65E-20	2.27E-17
LAMP3	2.93E-20	2.51E-17
NCKAP1L	3.18E-20	2.72E-17
IDO1	3.19E-20	2.73E-17
PRKCH	3.21E-20	2.75E-17
BTN3A3	3.27E-20	2.80E-17
HLA-E	3.34E-20	2.86E-17
EVI2A	3.36E-20	2.88E-17
PRKCB	3.93E-20	3.36E-17
CD8A	4.26E-20	3.65E-17
CXCL11	4.39E-20	3.75E-17
HLA-DPA1	4.40E-20	3.76E-17
EVI2B	4.57E-20	3.92E-17
IL15	6.25E-20	5.35E-17
AKR1B10	6.66E-20	5.70E-17
FASN	8.24E-20	7.05E-17
IFI44L	8.44E-20	7.22E-17
GPR171	9.62E-20	8.23E-17
SLAMF1	9.95E-20	8.52E-17
GIMAP5	1.01E-19	8.66E-17
GMFG	1.18E-19	1.01E-16
IFIH1	1.21E-19	1.04E-16
CLIC2	1.24E-19	1.06E-16
SAMSN1	1.26E-19	1.08E-16
PSMB8	1.43E-19	1.23E-16
TRGC2	1.55E-19	1.33E-16
PARP12	1.62E-19	1.38E-16
BIRC3	1.64E-19	1.40E-16
ARHGAP15	2.09E-19	1.79E-16
GIMAP6	2.43E-19	2.08E-16
KMO	2.80E-19	2.40E-16
