TAP1	2.75E-31	6.51E-28
CXCL10	1.24E-30	2.93E-27
UBD	9.34E-30	2.21E-26
CD53	1.26E-27	2.99E-24
STAT1	1.42E-27	3.35E-24
CD2	1.48E-27	3.49E-24
IL10RA	1.02E-26	2.40E-23
PTPRC	4.30E-26	1.02E-22
HLA-DMB	6.11E-26	1.45E-22
FGL2	7.88E-26	1.86E-22
LCP2	4.22E-25	9.98E-22
IL2RG	8.35E-25	1.97E-21
HLA-DRA	1.38E-24	3.26E-21
TRAC	1.54E-24	3.64E-21
TNFRSF1B	4.65E-24	1.10E-20
APOBEC3G	5.76E-24	1.36E-20
CD74	5.98E-24	1.42E-20
LIMA1	1.44E-23	3.41E-20
GBP1	1.59E-23	3.76E-20
CSF2RB	1.77E-23	4.18E-20
HLA-DRB1	1.94E-23	4.59E-20
HLA-DMA	2.18E-23	5.15E-20
HLA-DRB5	2.31E-23	5.46E-20
GIMAP4	2.72E-23	6.43E-20
ALCAM	3.72E-23	8.79E-20
PIP	4.18E-23	9.88E-20
ALDH3B2	6.88E-23	1.63E-19
CD48	8.02E-23	1.90E-19
CXCL13	8.06E-23	1.91E-19
APOD	1.31E-22	3.11E-19
SASH3	1.51E-22	3.57E-19
GZMA	1.58E-22	3.73E-19
WARS	1.74E-22	4.11E-19
CYTIP	1.75E-22	4.13E-19
ROPN1	1.80E-22	4.27E-19
DOCK10	3.34E-22	7.89E-19
TRIM22	5.44E-22	1.29E-18
LTB	7.13E-22	1.69E-18
CD3D	7.97E-22	1.88E-18
RHOB	1.35E-21	3.20E-18
RHOH	1.44E-21	3.41E-18
EN1	1.54E-21	3.65E-18
CD52	1.91E-21	4.52E-18
IRF8	2.14E-21	5.06E-18
KYNU	2.30E-21	5.44E-18
SRGN	2.40E-21	5.67E-18
HLA-DPB1	2.71E-21	6.40E-18
SEPP1	6.77E-21	1.60E-17
ZCCHC24	1.12E-20	2.65E-17
DOCK2	1.22E-20	2.88E-17
TFAP2B	2.08E-20	4.91E-17
HSD17B11	2.65E-20	6.26E-17
NCKAP1L	3.18E-20	7.52E-17
IDO1	3.19E-20	7.54E-17
PRKCH	3.21E-20	7.60E-17
HLA-E	3.34E-20	7.90E-17
EVI2A	3.36E-20	7.95E-17
PRKCB	3.93E-20	9.29E-17
CXCL11	4.39E-20	1.04E-16
HLA-DPA1	4.40E-20	1.04E-16
EVI2B	4.57E-20	1.08E-16
AKR1B10	6.66E-20	1.58E-16
FASN	8.24E-20	1.95E-16
FZD4	9.08E-20	2.15E-16
GPR171	9.62E-20	2.27E-16
GIMAP5	1.01E-19	2.39E-16
STAT4	1.12E-19	2.64E-16
GMFG	1.18E-19	2.79E-16
IFIH1	1.21E-19	2.87E-16
CLIC2	1.24E-19	2.94E-16
SAMSN1	1.26E-19	2.98E-16
PARP12	1.62E-19	3.83E-16
ARHGAP15	2.09E-19	4.93E-16
GIMAP6	2.43E-19	5.75E-16
SLA	2.51E-19	5.93E-16
KMO	2.80E-19	6.63E-16
SERHL2	2.94E-19	6.96E-16
CORO1A	3.33E-19	7.88E-16
HCLS1	3.57E-19	8.44E-16
RTP4	3.60E-19	8.52E-16
TGFB1I1	3.91E-19	9.26E-16
GZMK	4.58E-19	1.08E-15
MYO1F	5.12E-19	1.21E-15
NCF4	5.61E-19	1.33E-15
P2RY13	5.78E-19	1.37E-15
ITGAL	6.22E-19	1.47E-15
SCRG1	7.05E-19	1.67E-15
GGTLC3	7.97E-19	1.89E-15
FYB	1.23E-18	2.90E-15
WIPF1	1.25E-18	2.96E-15
LAMB2	1.54E-18	3.64E-15
LPXN	1.77E-18	4.18E-15
CD247	1.81E-18	4.28E-15
UGDH	2.22E-18	5.26E-15
UGT2B28	2.61E-18	6.17E-15
XBP1	3.07E-18	7.25E-15
AIF1	3.98E-18	9.40E-15
GALNT10	4.32E-18	1.02E-14
ZAP70	4.66E-18	1.10E-14
TNFAIP8	5.03E-18	1.19E-14
CCL4	5.15E-18	1.22E-14
VCAM1	5.56E-18	1.31E-14
ITK	5.82E-18	1.38E-14
RAC2	5.94E-18	1.41E-14
PDLIM1	6.41E-18	1.52E-14
TSC22D3	7.22E-18	1.71E-14
CCND2	9.82E-18	2.32E-14
PCOLCE	1.05E-17	2.48E-14
TBC1D9	1.09E-17	2.59E-14
ARHGAP25	1.30E-17	3.07E-14
IGBP1	1.48E-17	3.49E-14
IGLJ3	1.68E-17	3.96E-14
CPE	1.94E-17	4.58E-14
CCR2	1.99E-17	4.69E-14
PMP22	2.10E-17	4.97E-14
TMEM135	2.35E-17	5.56E-14
LCK	2.42E-17	5.72E-14
PLAC8	2.86E-17	6.76E-14
SELL	3.39E-17	8.01E-14
AZGP1	3.72E-17	8.80E-14
INPP5D	4.49E-17	1.06E-13
POU2AF1	4.59E-17	1.08E-13
SLC38A1	6.10E-17	1.44E-13
MNDA	6.36E-17	1.50E-13
TMEM140	6.50E-17	1.54E-13
TRIM68	7.12E-17	1.68E-13
LOC100130100	7.36E-17	1.74E-13
IL23A	7.80E-17	1.84E-13
MPHOSPH6	8.40E-17	1.99E-13
IQGAP2	9.45E-17	2.24E-13
TRPS1	1.00E-16	2.37E-13
C4orf18	1.00E-16	2.38E-13
CECR1	1.06E-16	2.51E-13
SELPLG	1.15E-16	2.72E-13
SPRED2	1.19E-16	2.82E-13
CCDC69	1.20E-16	2.84E-13
ITGA4	1.25E-16	2.96E-13
SPOCK2	1.40E-16	3.32E-13
PIK3CD	1.56E-16	3.68E-13
IGKV1D-13	1.61E-16	3.80E-13
ITM2A	1.84E-16	4.35E-13
UBL3	1.86E-16	4.41E-13
OASL	2.05E-16	4.85E-13
G6PD	2.07E-16	4.89E-13
KLRK1	2.07E-16	4.90E-13
AQP1	2.08E-16	4.91E-13
PDGFRB	2.41E-16	5.69E-13
USP18	2.42E-16	5.72E-13
NTN3	2.54E-16	6.00E-13
GGCT	2.77E-16	6.55E-13
MS4A6A	3.19E-16	7.55E-13
CD37	3.23E-16	7.63E-13
PTPRCAP	3.52E-16	8.32E-13
ABLIM3	3.71E-16	8.77E-13
SPARC	3.74E-16	8.84E-13
CD27	3.82E-16	9.05E-13
GPD1L	4.21E-16	9.97E-13
CCR7	4.40E-16	1.04E-12
VIPR1	4.85E-16	1.15E-12
SC4MOL	5.73E-16	1.36E-12
MYBL1	5.94E-16	1.40E-12
SPOCK1	6.07E-16	1.44E-12
SLCO2A1	6.28E-16	1.48E-12
LOC652493	6.57E-16	1.55E-12
GALNT7	6.62E-16	1.57E-12
PPIC	8.10E-16	1.91E-12
SERPINB9	8.57E-16	2.03E-12
LRRC17	9.14E-16	2.16E-12
BIK	9.65E-16	2.28E-12
GHR	1.10E-15	2.61E-12
IL7R	1.19E-15	2.80E-12
SLIT2	1.29E-15	3.06E-12
LRRC32	1.32E-15	3.11E-12
CTGF	1.49E-15	3.52E-12
C3orf14	1.79E-15	4.22E-12
COL1A2	1.87E-15	4.43E-12
FBN1	1.97E-15	4.65E-12
GCH1	2.00E-15	4.74E-12
MAN2B2	2.06E-15	4.86E-12
IGHG3	2.11E-15	5.00E-12
THY1	2.23E-15	5.28E-12
ALOX5	2.71E-15	6.41E-12
DUSP5	3.28E-15	7.75E-12
CD69	3.29E-15	7.77E-12
BCL2A1	3.30E-15	7.81E-12
MICALL1	3.42E-15	8.08E-12
PDGFD	3.54E-15	8.38E-12
SFRP4	3.67E-15	8.69E-12
IGKC	3.69E-15	8.72E-12
GPR18	3.93E-15	9.29E-12
SESN1	4.29E-15	1.01E-11
FYCO1	4.34E-15	1.03E-11
MAN1C1	4.35E-15	1.03E-11
PRKACB	6.17E-15	1.46E-11
LAMB1	6.60E-15	1.56E-11
BGN	6.83E-15	1.61E-11
ID4	7.00E-15	1.65E-11
RNASE6	9.33E-15	2.21E-11
LY96	9.64E-15	2.28E-11
CTDSP1	9.65E-15	2.28E-11
LST1	9.67E-15	2.29E-11
BTN3A2	9.79E-15	2.31E-11
SPRY1	9.98E-15	2.36E-11
SLIT3	1.01E-14	2.39E-11
OLFML3	1.09E-14	2.58E-11
CD248	1.11E-14	2.62E-11
MX1	1.13E-14	2.67E-11
AEBP1	1.17E-14	2.77E-11
SRPX	1.35E-14	3.20E-11
TRA@	1.37E-14	3.24E-11
S100A8	1.54E-14	3.65E-11
LDB2	1.62E-14	3.84E-11
CLEC7A	1.66E-14	3.93E-11
CD99	1.76E-14	4.17E-11
DDX58	1.77E-14	4.18E-11
IGFBP6	1.81E-14	4.29E-11
CCL8	2.01E-14	4.76E-11
RAI2	2.10E-14	4.96E-11
ZBTB16	2.34E-14	5.53E-11
P2RY5	2.35E-14	5.55E-11
GCC2	2.35E-14	5.56E-11
CIRBP	2.39E-14	5.66E-11
HTRA1	2.54E-14	6.01E-11
CSF1R	2.76E-14	6.54E-11
ECM2	2.84E-14	6.71E-11
PTRF	3.67E-14	8.67E-11
GNG11	4.01E-14	9.48E-11
MAOA	4.13E-14	9.76E-11
LHFP	4.15E-14	9.82E-11
DHRS2	4.80E-14	1.14E-10
